日期,中獎號碼,特別號
2015/08/14,"05, 13, 14, 23, 24, 42",35
2015/08/11,"01, 02, 35, 43, 45, 46",14
2015/08/07,"25, 26, 27, 28, 36, 37",38
2015/08/04,"03, 12, 17, 19, 38, 48",43
2015/07/31,"13, 16, 18, 30, 32, 40",29
2015/07/28,"06, 15, 27, 32, 44, 49",16
2015/07/24,"10, 12, 25, 33, 39, 42",29
2015/07/21,"08, 09, 16, 39, 40, 44",28
2015/07/17,"04, 07, 20, 27, 33, 40",38
2015/07/14,"10, 12, 14, 19, 30, 45",41
2015/07/10,"05, 06, 13, 26, 29, 47",33
2015/07/07,"01, 14, 27, 33, 42, 46",41
2015/07/03,"21, 23, 28, 29, 41, 46",24
2015/06/30,"18, 19, 32, 35, 46, 48",47
2015/06/26,"05, 06, 12, 28, 29, 41",07
2015/06/23,"02, 13, 33, 35, 43, 45",05
2015/06/19,"03, 05, 11, 18, 25, 38",15
2015/06/16,"03, 04, 25, 35, 41, 45",07
2015/06/12,"08, 19, 22, 24, 26, 28",18
2015/06/09,"03, 20, 27, 34, 37, 44",12
2015/06/05,"08, 21, 32, 35, 41, 48",34
2015/06/02,"01, 07, 19, 20, 46, 47",13
2015/05/29,"02, 05, 11, 28, 32, 34",24
2015/05/26,"02, 10, 11, 20, 26, 45",30
2015/05/22,"03, 21, 23, 28, 37, 43",05
2015/05/19,"15, 16, 29, 39, 42, 46",14
2015/05/15,"03, 06, 18, 27, 29, 32",40
2015/05/12,"01, 13, 23, 29, 31, 33",17
2015/05/08,"02, 10, 15, 28, 44, 49",39
2015/05/05,"08, 28, 41, 42, 44, 49",30
2015/05/01,"08, 15, 25, 29, 47, 49",09
2015/04/28,"03, 05, 12, 26, 36, 44",23
2015/04/24,"13, 25, 31, 35, 41, 46",49
2015/04/21,"01, 03, 11, 22, 29, 33",30
2015/04/17,"26, 32, 33, 36, 45, 47",39
2015/04/14,"01, 22, 23, 38, 48, 49",11
2015/04/10,"10, 11, 17, 20, 42, 44",13
2015/04/07,"11, 17, 19, 33, 45, 47",04
2015/04/03,"13, 32, 36, 40, 42, 43",41
2015/03/31,"02, 04, 13, 25, 32, 43",15
2015/03/27,"12, 13, 15, 18, 24, 36",39
2015/03/24,"03, 04, 06, 09, 17, 24",28
2015/03/20,"04, 07, 09, 13, 29, 46",08
2015/03/17,"05, 32, 36, 40, 42, 49",01
2015/03/13,"06, 09, 14, 16, 22, 33",11
2015/03/10,"03, 11, 25, 34, 46, 47",42
2015/03/06,"06, 21, 22, 35, 37, 44",29
2015/03/03,"04, 06, 11, 41, 43, 46",21
2015/02/27,"02, 06, 27, 34, 38, 43",45
2015/02/24,"03, 28, 39, 41, 46, 48",09
2015/02/23,"14, 20, 21, 32, 38, 43",23
2015/02/22,"03, 06, 12, 34, 37, 43",28
2015/02/21,"02, 05, 11, 17, 27, 40",20
2015/02/20,"05, 09, 10, 28, 29, 45",41
2015/02/19,"07, 25, 27, 31, 40, 49",11
2015/02/18,"03, 06, 15, 16, 27, 31",14
2015/02/17,"03, 11, 15, 23, 40, 46",13
2015/02/13,"01, 09, 15, 25, 29, 35",38
2015/02/10,"14, 15, 26, 29, 35, 44",09
2015/02/06,"05, 11, 29, 36, 42, 46",48
2015/02/03,"05, 13, 15, 16, 18, 30",08
2015/01/30,"03, 14, 24, 35, 39, 44",28
2015/01/27,"04, 09, 15, 21, 27, 45",06
2015/01/23,"08, 16, 20, 38, 39, 42",29
2015/01/20,"09, 24, 28, 35, 45, 47",48
2015/01/16,"02, 17, 28, 32, 38, 46",49
2015/01/13,"02, 14, 16, 22, 37, 46",49
2015/01/09,"07, 08, 18, 21, 23, 24",11
2015/01/06,"11, 16, 29, 30, 37, 43",13
2015/01/02,"13, 22, 23, 29, 31, 48",06
2014/12/30,"07, 30, 32, 44, 48, 49",45
2014/12/26,"09, 27, 32, 42, 45, 49",30
2014/12/23,"03, 27, 30, 31, 32, 39",35
2014/12/19,"01, 09, 24, 32, 41, 49",40
2014/12/16,"17, 28, 32, 34, 35, 45",08
2014/12/12,"07, 08, 24, 29, 32, 48",37
2014/12/09,"07, 09, 23, 33, 41, 43",24
2014/12/05,"11, 18, 30, 34, 37, 47",17
2014/12/02,"09, 11, 13, 23, 26, 42",47
2014/11/28,"01, 10, 21, 35, 40, 44",36
2014/11/25,"01, 15, 16, 32, 44, 48",40
2014/11/21,"02, 03, 22, 26, 32, 34",40
2014/11/18,"11, 12, 20, 26, 28, 43",06
2014/11/14,"15, 16, 29, 34, 41, 44",49
2014/11/11,"05, 11, 18, 23, 36, 43",14
2014/11/07,"11, 19, 25, 27, 40, 49",33
2014/11/04,"03, 20, 30, 35, 38, 41",47
2014/10/31,"02, 08, 10, 14, 27, 49",20
2014/10/28,"05, 16, 25, 32, 37, 44",21
2014/10/24,"01, 17, 20, 36, 37, 45",15
2014/10/21,"14, 28, 31, 38, 42, 44",45
2014/10/17,"02, 11, 20, 32, 33, 36",39
2014/10/14,"09, 10, 14, 20, 36, 47",08
2014/10/10,"01, 11, 19, 24, 26, 28",33
2014/10/07,"17, 18, 40, 41, 45, 47",29
2014/10/03,"10, 14, 19, 24, 35, 37",39
2014/09/30,"18, 35, 36, 41, 47, 49",15
2014/09/26,"08, 15, 19, 22, 29, 37",39
2014/09/23,"02, 11, 20, 28, 32, 38",16
2014/09/19,"02, 06, 17, 29, 32, 39",04
2014/09/16,"07, 12, 16, 18, 19, 41",45
2014/09/12,"02, 23, 27, 31, 36, 49",15
2014/09/09,"21, 23, 29, 41, 42, 49",14
2014/09/05,"10, 16, 25, 27, 32, 36",45
2014/09/02,"07, 08, 36, 39, 42, 43",22
2014/08/29,"09, 10, 21, 23, 38, 39",35
2014/08/26,"01, 17, 19, 23, 32, 43",09
2014/08/22,"08, 16, 23, 30, 31, 43",18
2014/08/19,"06, 07, 09, 12, 14, 19",17
2014/08/15,"18, 23, 29, 46, 47, 48",05
2014/08/12,"04, 06, 10, 12, 34, 45",44
2014/08/08,"26, 31, 32, 38, 42, 45",37
2014/08/05,"04, 11, 26, 33, 40, 42",34
2014/08/01,"05, 08, 21, 23, 32, 45",18
2014/07/29,"31, 32, 34, 36, 44, 47",46
2014/07/25,"05, 21, 30, 32, 35, 45",26
2014/07/22,"03, 09, 13, 17, 28, 42",14
2014/07/18,"01, 02, 15, 19, 21, 30",40
2014/07/15,"07, 18, 23, 32, 34, 48",13
2014/07/11,"01, 07, 14, 15, 18, 30",33
2014/07/08,"10, 22, 25, 33, 39, 47",38
2014/07/04,"03, 14, 17, 24, 27, 48",28
2014/07/01,"06, 07, 08, 09, 21, 48",18
2014/06/27,"13, 21, 27, 34, 35, 36",24
2014/06/24,"01, 08, 12, 14, 40, 41",15
2014/06/20,"12, 14, 16, 33, 36, 47",48
2014/06/17,"03, 06, 18, 20, 25, 48",12
2014/06/13,"04, 21, 28, 32, 37, 42",16
2014/06/10,"03, 11, 28, 32, 33, 35",30
2014/06/06,"25, 29, 40, 41, 47, 49",48
2014/06/03,"16, 31, 32, 33, 35, 44",46
2014/05/30,"09, 17, 21, 24, 30, 35",15
2014/05/27,"10, 19, 23, 26, 32, 39",16
2014/05/23,"11, 17, 22, 27, 30, 46",15
2014/05/20,"06, 13, 30, 33, 34, 35",38
2014/05/16,"14, 31, 38, 41, 42, 45",29
2014/05/13,"15, 20, 29, 31, 32, 44",23
2014/05/09,"01, 11, 13, 21, 27, 37",03
2014/05/06,"10, 25, 35, 39, 40, 46",31
2014/05/02,"01, 07, 23, 25, 37, 40",12
2014/04/29,"02, 09, 27, 30, 44, 46",22
2014/04/25,"04, 24, 34, 35, 38, 46",30
2014/04/22,"11, 12, 15, 18, 20, 37",42
2014/04/18,"08, 09, 15, 40, 44, 48",24
2014/04/15,"05, 08, 24, 26, 35, 44",41
2014/04/11,"01, 03, 04, 09, 12, 17",15
2014/04/08,"01, 14, 17, 27, 28, 45",11
2014/04/04,"08, 24, 35, 37, 41, 47",23
2014/04/01,"18, 22, 29, 30, 46, 47",06
2014/03/28,"09, 18, 23, 35, 36, 47",41
2014/03/25,"19, 23, 25, 30, 42, 47",16
2014/03/21,"08, 18, 26, 31, 46, 47",20
2014/03/18,"12, 26, 28, 35, 39, 40",16
2014/03/14,"02, 08, 27, 40, 41, 47",28
2014/03/11,"13, 15, 16, 20, 40, 43",14
2014/03/07,"06, 18, 26, 30, 37, 38",16
2014/03/04,"08, 26, 35, 37, 40, 43",06
2014/02/28,"13, 17, 18, 24, 28, 32",37
2014/02/25,"03, 05, 09, 12, 13, 46",04
2014/02/21,"11, 12, 23, 28, 40, 48",09
2014/02/18,"06, 19, 20, 26, 32, 47",35
2014/02/14,"10, 19, 20, 24, 33, 48",01
2014/02/11,"06, 15, 21, 22, 31, 44",41
2014/02/07,"05, 11, 12, 21, 22, 28",25
2014/02/04,"08, 12, 19, 32, 42, 46",28
2014/02/03,"01, 02, 16, 17, 27, 30",48
2014/02/02,"03, 13, 14, 19, 24, 45",05
2014/02/01,"06, 09, 13, 19, 36, 37",27
2014/01/31,"17, 23, 27, 38, 48, 49",19
2014/01/30,"09, 22, 44, 45, 48, 49",08
2014/01/28,"01, 02, 05, 07, 26, 30",24
2014/01/24,"01, 04, 20, 29, 41, 45",36
2014/01/21,"12, 15, 22, 38, 43, 44",09
2014/01/17,"13, 15, 20, 26, 29, 36",37
2014/01/14,"02, 11, 21, 41, 45, 49",26
2014/01/10,"07, 17, 19, 30, 32, 37",03
2014/01/07,"01, 07, 21, 25, 35, 36",39
2014/01/03,"11, 18, 20, 21, 35, 37",08
2013/12/31,"05, 27, 29, 36, 40, 42",35
2013/12/27,"02, 12, 16, 31, 39, 43",18
2013/12/24,"09, 21, 24, 33, 36, 43",03
2013/12/20,"08, 09, 14, 17, 25, 45",27
2013/12/17,"01, 04, 09, 14, 22, 28",20
2013/12/13,"10, 16, 26, 28, 41, 48",42
2013/12/10,"06, 11, 27, 34, 42, 49",21
2013/12/06,"04, 06, 08, 10, 15, 36",13
2013/12/03,"08, 10, 17, 38, 44, 49",40
2013/11/29,"02, 08, 13, 19, 30, 31",20
2013/11/26,"01, 10, 11, 15, 20, 21",26
2013/11/22,"08, 09, 11, 24, 40, 47",33
2013/11/19,"15, 16, 33, 35, 36, 46",21
2013/11/15,"02, 04, 18, 31, 36, 43",08
2013/11/12,"03, 12, 22, 23, 29, 46",33
2013/11/08,"01, 03, 28, 30, 33, 39",34
2013/11/05,"03, 12, 27, 29, 37, 46",17
2013/11/01,"06, 16, 26, 31, 36, 46",09
2013/10/29,"01, 04, 21, 30, 39, 42",44
2013/10/25,"03, 08, 10, 11, 35, 36",39
2013/10/22,"07, 08, 16, 23, 32, 39",22
2013/10/18,"09, 11, 17, 39, 40, 43",46
2013/10/15,"08, 13, 16, 20, 22, 28",49
2013/10/11,"02, 10, 32, 37, 46, 49",28
2013/10/08,"04, 06, 07, 11, 26, 31",38
2013/10/04,"07, 12, 18, 25, 28, 48",46
2013/10/01,"01, 04, 14, 17, 23, 46",41
2013/09/27,"01, 12, 18, 19, 38, 46",02
2013/09/24,"07, 09, 15, 23, 34, 35",41
2013/09/20,"06, 12, 19, 28, 39, 47",36
2013/09/17,"01, 08, 17, 19, 40, 46",15
2013/09/13,"12, 16, 26, 27, 28, 45",06
2013/09/10,"01, 10, 14, 34, 42, 47",09
2013/09/06,"06, 07, 14, 33, 36, 48",18
2013/09/03,"11, 13, 22, 29, 39, 48",45
2013/08/30,"02, 21, 24, 27, 36, 46",05
2013/08/27,"05, 08, 11, 14, 15, 36",46
2013/08/23,"05, 11, 12, 14, 31, 35",26
2013/08/20,"05, 07, 16, 28, 31, 49",34
2013/08/16,"04, 17, 24, 27, 29, 40",09
2013/08/13,"12, 14, 16, 34, 37, 48",07
2013/08/09,"03, 04, 12, 13, 24, 30",09
2013/08/06,"01, 04, 17, 27, 32, 48",06
2013/08/02,"07, 27, 43, 44, 45, 46",35
2013/07/30,"06, 15, 16, 22, 43, 45",48
2013/07/26,"08, 17, 21, 34, 39, 45",44
2013/07/23,"04, 17, 24, 27, 35, 49",39
2013/07/19,"03, 05, 09, 15, 30, 49",48
2013/07/16,"10, 13, 16, 29, 31, 37",32
2013/07/12,"15, 24, 29, 34, 47, 48",31
2013/07/09,"19, 24, 28, 29, 41, 43",37
2013/07/05,"11, 14, 28, 39, 40, 45",42
2013/07/02,"01, 05, 18, 21, 40, 44",22
2013/06/28,"22, 26, 31, 42, 44, 49",29
2013/06/25,"07, 18, 26, 28, 34, 38",05
2013/06/21,"10, 29, 35, 39, 41, 44",07
2013/06/18,"04, 11, 25, 36, 41, 43",27
2013/06/14,"04, 16, 22, 32, 35, 47",43
2013/06/11,"16, 20, 34, 42, 46, 49",04
2013/06/07,"03, 14, 29, 33, 39, 48",22
2013/06/04,"14, 19, 34, 43, 46, 47",42
2013/05/31,"03, 06, 10, 33, 39, 44",37
2013/05/28,"07, 10, 16, 17, 30, 43",23
2013/05/24,"10, 27, 28, 31, 37, 41",34
2013/05/21,"24, 29, 35, 39, 42, 49",48
2013/05/17,"05, 10, 16, 22, 23, 24",31
2013/05/14,"01, 06, 07, 27, 30, 39",21
2013/05/10,"02, 17, 25, 32, 39, 43",34
2013/05/07,"09, 11, 14, 25, 33, 35",02
2013/05/03,"01, 04, 08, 22, 32, 45",02
2013/04/30,"10, 30, 32, 37, 46, 47",16
2013/04/26,"15, 17, 19, 30, 40, 47",25
2013/04/23,"12, 15, 29, 31, 36, 45",40
2013/04/19,"03, 36, 37, 40, 42, 48",17
2013/04/16,"06, 18, 40, 43, 45, 48",24
2013/04/12,"01, 03, 18, 22, 29, 32",21
2013/04/09,"07, 16, 35, 45, 47, 48",39
2013/04/05,"04, 07, 13, 17, 21, 35",33
2013/04/02,"11, 15, 20, 23, 26, 35",31
2013/03/29,"02, 03, 08, 15, 24, 46",36
2013/03/26,"01, 09, 20, 28, 39, 42",47
2013/03/22,"05, 07, 13, 23, 24, 30",01
2013/03/19,"01, 12, 25, 37, 39, 40",18
2013/03/15,"05, 13, 23, 37, 43, 44",26
2013/03/12,"16, 20, 35, 46, 47, 49",31
2013/03/08,"12, 13, 16, 29, 44, 45",30
2013/03/05,"05, 24, 30, 35, 36, 38",11
2013/03/01,"01, 26, 34, 35, 36, 37",07
2013/02/26,"08, 15, 21, 30, 36, 39",17
2013/02/22,"07, 09, 17, 25, 28, 35",36
2013/02/19,"07, 23, 24, 28, 32, 40",08
2013/02/15,"02, 08, 17, 30, 34, 40",26
2013/02/12,"03, 13, 19, 24, 27, 38",40
2013/02/11,"06, 16, 40, 45, 46, 48",31
2013/02/10,"09, 10, 12, 21, 31, 35",19
2013/02/09,"05, 11, 17, 22, 30, 34",10
2013/02/08,"04, 11, 22, 26, 38, 47",13
2013/02/05,"08, 15, 19, 25, 30, 38",06
2013/02/01,"01, 26, 28, 37, 39, 46",03
2013/01/29,"03, 07, 31, 32, 34, 43",41
2013/01/25,"02, 04, 11, 18, 48, 49",38
2013/01/22,"02, 14, 23, 25, 31, 47",48
2013/01/18,"22, 27, 30, 33, 37, 46",24
2013/01/15,"02, 08, 32, 34, 44, 46",14
2013/01/11,"01, 10, 24, 33, 44, 48",37
2013/01/08,"05, 06, 14, 19, 27, 33",31
2013/01/04,"01, 07, 24, 31, 35, 47",21
2013/01/01,"03, 04, 22, 32, 33, 49",21
2012/12/28,"05, 14, 18, 28, 37, 42",19
2012/12/31,"12, 18, 25, 32, 41, 47",07
2012/12/21,"13, 17, 22, 25, 31, 48",26
2012/12/18,"05, 07, 10, 15, 19, 44",49
2012/12/14,"08, 11, 17, 21, 28, 49",37
2012/12/11,"05, 12, 14, 22, 38, 44",25
2012/12/07,"08, 11, 13, 19, 23, 28",49
2012/12/04,"02, 23, 29, 30, 41, 43",16
2012/11/30,"05, 18, 26, 31, 37, 43",08
2012/11/27,"05, 09, 13, 18, 19, 31",32
2012/11/23,"02, 03, 04, 14, 18, 46",25
2012/11/20,"06, 20, 23, 24, 27, 34",16
2012/11/16,"17, 18, 32, 33, 41, 42",12
2012/11/13,"02, 11, 14, 22, 25, 31",26
2012/11/09,"09, 25, 31, 37, 38, 45",21
2012/11/06,"08, 13, 41, 42, 47, 48",29
2012/11/02,"04, 18, 24, 36, 37, 38",31
2012/10/30,"10, 14, 20, 25, 36, 46",02
2012/10/26,"01, 17, 20, 28, 32, 41",13
2012/10/23,"02, 07, 19, 20, 25, 46",43
2012/10/19,"13, 25, 27, 39, 45, 49",11
2012/10/16,"02, 03, 28, 35, 44, 45",36
2012/10/12,"05, 11, 12, 30, 43, 48",15
2012/10/09,"08, 15, 18, 30, 31, 41",45
2012/10/05,"09, 17, 18, 33, 44, 47",08
2012/10/02,"01, 03, 07, 09, 28, 40",45
2012/09/28,"04, 06, 22, 41, 42, 47",18
2012/09/25,"18, 19, 34, 35, 45, 49",16
2012/09/21,"22, 29, 30, 36, 37, 42",09
2012/09/18,"12, 13, 18, 39, 44, 48",35
2012/09/14,"20, 31, 32, 33, 37, 38",39
2012/09/11,"03, 04, 21, 30, 31, 48",15
2012/09/07,"07, 17, 19, 24, 30, 44",31
2012/09/04,"10, 21, 32, 36, 40, 48",09
2012/08/31,"18, 28, 31, 34, 36, 45",42
2012/08/28,"01, 03, 06, 30, 38, 41",46
2012/08/24,"07, 34, 35, 42, 43, 47",29
2012/08/21,"06, 29, 40, 44, 46, 47",33
2012/08/17,"07, 38, 39, 43, 47, 48",29
2012/08/14,"02, 19, 27, 31, 38, 49",32
2012/08/10,"01, 03, 14, 24, 26, 45",38
2012/08/07,"12, 23, 28, 29, 43, 47",26
2012/08/03,"13, 14, 18, 27, 29, 44",21
2012/07/31,"01, 24, 28, 33, 43, 44",31
2012/07/27,"05, 07, 09, 22, 27, 34",45
2012/07/24,"05, 11, 21, 24, 37, 39",13
2012/07/20,"11, 14, 22, 34, 41, 44",27
2012/07/17,"17, 19, 22, 25, 30, 37",31
2012/07/13,"08, 15, 28, 35, 41, 46",11
2012/07/10,"03, 16, 26, 28, 31, 41",45
2012/07/06,"04, 11, 18, 19, 27, 31",24
2012/07/03,"11, 18, 21, 34, 41, 49",47
2012/06/29,"09, 11, 30, 36, 39, 45",26
2012/06/26,"01, 06, 07, 12, 16, 41",49
2012/06/22,"06, 24, 28, 36, 38, 44",08
2012/06/19,"01, 05, 17, 19, 26, 46",47
2012/06/15,"09, 15, 23, 38, 47, 49",36
2012/06/12,"03, 21, 29, 33, 35, 40",45
2012/06/08,"01, 09, 24, 45, 46, 49",12
2012/06/05,"11, 13, 16, 35, 40, 49",39
2012/06/01,"04, 18, 31, 34, 39, 44",49
2012/05/29,"05, 22, 38, 43, 46, 49",13
2012/05/25,"01, 17, 22, 26, 33, 40",11
2012/05/22,"01, 08, 13, 18, 28, 49",06
2012/05/18,"13, 23, 25, 31, 39, 46",41
2012/05/15,"01, 30, 35, 44, 47, 49",46
2012/05/11,"10, 22, 29, 30, 33, 37",27
2012/05/08,"06, 23, 24, 25, 29, 30",47
2012/05/04,"04, 11, 17, 23, 31, 39",14
2012/05/01,"05, 07, 21, 22, 31, 43",04
2012/04/27,"13, 22, 24, 35, 40, 45",37
2012/04/24,"09, 14, 19, 21, 39, 47",11
2012/04/20,"02, 03, 25, 44, 45, 48",31
2012/04/17,"19, 23, 25, 26, 31, 43",10
2012/04/13,"01, 04, 09, 20, 25, 35",43
2012/04/10,"06, 19, 27, 31, 33, 42",13
2012/04/06,"04, 05, 14, 36, 37, 40",25
2012/04/03,"08, 22, 23, 39, 44, 47",36
2012/03/30,"01, 20, 21, 28, 36, 38",30
2012/03/27,"16, 18, 23, 27, 28, 29",19
2012/03/23,"22, 31, 36, 37, 43, 44",11
2012/03/20,"04, 05, 07, 13, 26, 46",24
2012/03/16,"26, 27, 28, 30, 31, 43",08
2012/03/13,"06, 24, 46, 47, 48, 49",40
2012/03/10,"10, 21, 41, 44, 45, 48",32
2012/03/06,"02, 05, 17, 20, 25, 48",14
2012/03/02,"02, 06, 15, 21, 31, 45",24
2012/02/28,"02, 30, 32, 36, 43, 47",49
2012/02/24,"02, 06, 13, 15, 17, 43",04
2012/02/21,"02, 21, 32, 39, 42, 46",19
2012/02/17,"14, 15, 26, 30, 38, 44",19
2012/02/14,"02, 11, 19, 21, 33, 45",40
2012/02/10,"05, 16, 19, 29, 41, 43",37
2012/02/07,"07, 22, 27, 33, 39, 41",13
2012/02/03,"05, 08, 20, 32, 34, 35",17
2012/01/31,"01, 11, 14, 15, 19, 33",42
2012/01/27,"03, 20, 21, 22, 34, 40",44
2012/01/24,"08, 21, 29, 38, 44, 45",20
2012/01/20,"10, 12, 22, 30, 39, 44",09
2012/01/17,"04, 10, 22, 35, 42, 46",32
2012/01/13,"22, 36, 42, 43, 46, 48",21
2012/01/10,"03, 21, 23, 27, 45, 47",40
2012/01/06,"10, 14, 23, 35, 41, 46",19
2012/01/03,"09, 19, 26, 34, 38, 40",37
2011/12/30,"12, 13, 15, 28, 30, 37",03
2011/12/27,"01, 08, 23, 24, 30, 32",14
2011/12/23,"06, 17, 27, 31, 40, 48",28
2011/12/20,"05, 07, 09, 26, 27, 34",08
2011/12/16,"10, 31, 35, 36, 41, 44",34
2011/12/13,"02, 23, 30, 36, 44, 48",24
2011/12/09,"10, 37, 38, 39, 40, 45",18
2011/12/06,"03, 13, 14, 18, 22, 38",06
2011/12/02,"23, 27, 31, 37, 39, 45",06
2011/11/29,"01, 07, 11, 14, 35, 36",10
2011/11/25,"08, 10, 27, 30, 36, 43",48
2011/11/22,"16, 21, 37, 40, 41, 46",27
2011/11/18,"10, 11, 12, 15, 16, 45",19
2011/11/15,"12, 19, 21, 35, 42, 46",40
2011/11/11,"04, 19, 20, 29, 32, 36",30
2011/11/08,"02, 11, 22, 35, 39, 40",36
2011/11/04,"02, 07, 08, 14, 21, 38",11
2011/11/01,"04, 07, 13, 14, 21, 29",22
